chr5_101	(Etal:0.2536090947,((Htel:0.0187608490,Hhsa:0.0178354496)94:0.008668,(Hdem:0.0237553497,Hsar:0.0428877534)94:0.007770)75:0.010020,(Hhim:0.0286706022,HeraRef:0.0176558724)99:0.019127);
chr2_103	(Etal:0.2806606049,(Htel:0.0335755032,(Hhsa:0.0432200898,(Hhim:0.0303710225,HeraRef:0.0279670611)100:0.014110)94:0.008659)65:0.003564,(Hdem:0.0312920215,Hsar:0.0455733172)69:0.008717);
chr5_103	(Etal:0.1827875630,((Htel:0.0228168914,Hhsa:0.0314951990)59:0.005082,(Hhim:0.0326055855,HeraRef:0.0269882245)100:0.020636)82:0.004639,(Hdem:0.0344801675,Hsar:0.0371729637)95:0.006776);
chr2_104	(Etal:0.1730464012,(Htel:0.0405498109,(Hdem:0.0113321214,Hsar:0.0227617909)100:0.022796)98:0.020052,(Hhsa:0.0199570598,(Hhim:0.0193270061,HeraRef:0.0214609748)100:0.038340)100:0.025039);
chr2_105	(Etal:0.2002282663,(Htel:0.0391125482,(Hdem:0.0229654230,Hsar:0.0359913304)100:0.025995)79:0.008556,(Hhsa:0.0446647297,(Hhim:0.0159378702,HeraRef:0.0249977492)100:0.021617)100:0.045444);
chr2_106	(Etal:0.1673175131,(Htel:0.0418970861,(Hdem:0.0312599141,Hsar:0.0345072644)98:0.026515)67:0.014710,(Hhsa:0.0300725965,(Hhim:0.0345068294,HeraRef:0.0253532522)91:0.009154)100:0.025743);
chr11_100	(Etal:0.2187470436,((Htel:0.0305231016,Hhsa:0.0351836390)100:0.012204,(Hhim:0.0341902034,HeraRef:0.0288912197)100:0.024374)86:0.005502,(Hdem:0.0328295813,Hsar:0.0478408883)100:0.014100);
chr5_107	(Etal:0.1821579591,((Htel:0.0208765740,Hhsa:0.0254571604)85:0.005908,(Hhim:0.0220396110,HeraRef:0.0167885649)100:0.016503)78:0.006411,(Hdem:0.0151885058,Hsar:0.0363568612)98:0.009969);
chr10_100	(Etal:0.2677330375,((Htel:0.0373301465,Hhsa:0.0526193783)87:0.009020,(Hdem:0.0304895348,Hsar:0.0443549065)99:0.017561)54:0.006447,(Hhim:0.0279582853,HeraRef:0.0220217262)100:0.033969);
chr6_100	(Etal:0.3004614218,(Htel:0.0432789121,(Hhim:0.0238184509,HeraRef:0.0303270988)100:0.030940)73:0.006086,(Hhsa:0.0411937237,(Hdem:0.0297179695,Hsar:0.0431529377)93:0.008650)88:0.009421);
chr7_100	(Etal:0.2897068229,((Htel:0.0251046274,Hhsa:0.0233553176)100:0.019013,(Hhim:0.0264993408,HeraRef:0.0310748507)100:0.014229)95:0.016212,(Hdem:0.0303898651,Hsar:0.0448604846)90:0.007625);
chr9_103	(Etal:0.2235104054,((Htel:0.0259355546,Hhsa:0.0290062631)87:0.005521,(Hhim:0.0290876771,HeraRef:0.0307103887)98:0.007545)92:0.010304,(Hdem:0.0298873518,Hsar:0.0414104303)99:0.008419);
chr4_106	(Etal:0.1683804232,Htel:0.0452869409,((Hhsa:0.0371900909,(Hhim:0.0321919002,HeraRef:0.0332143088)98:0.009586)57:0.004399,(Hdem:0.0317870080,Hsar:0.0455766040)75:0.006785)98:0.019100);
chr1_114	(Etal:0.1889610000,(Htel:0.0205448077,(Hhsa:0.0287393154,(Hhim:0.0138019750,HeraRef:0.0283035360)100:0.015521)99:0.007940)68:0.002139,(Hdem:0.0217018484,Hsar:0.0329987551)69:0.004812);
chr11_102	(Etal:0.1890560361,(Htel:0.0391088228,(Hhim:0.0201568600,HeraRef:0.0203453954)100:0.038379)61:0.005086,(Hhsa:0.0359124508,(Hdem:0.0280950074,Hsar:0.0435584582)89:0.010088)73:0.010393);
chr10_103	(Etal:0.1752463856,((Htel:0.0243489189,Hhsa:0.0190102379)86:0.006646,(Hhim:0.0162014399,HeraRef:0.0220804666)100:0.020044)85:0.007369,(Hdem:0.0277685700,Hsar:0.0336793894)100:0.012939);
chr6_105	(Etal:0.3004261814,((Htel:0.0483116037,Hhsa:0.0277756326)63:0.003764,(Hhim:0.0295530410,HeraRef:0.0309665874)100:0.018195)98:0.011435,(Hdem:0.0375802179,Hsar:0.0492204640)86:0.005452);
chr10_104	(Etal:0.1823124398,(Htel:0.0339713499,(Hhsa:0.0285820667,(Hhim:0.0195277426,HeraRef:0.0228192538)100:0.025660)61:0.003979)73:0.004904,(Hdem:0.0319262953,Hsar:0.0294791574)95:0.007537);
