chr10_1000,8857,2102,1029,2,7
chr10_1001,6977,1533,1021,6,3
chr10_1002,6462,1658,675,5,9
chr10_1003,7212,1924,1069,6,7
chr10_1004,2529,812,352,2,4
chr10_1005,3799,1112,355,4,2
chr10_1006,5327,1360,478,6,5
chr10_1007,6223,1635,1003,15,8
chr10_1008,7893,2070,1070,9,10
chr10_1009,8409,1962,1226,3,10
chr10_100,4414,1230,566,3,9
chr10_1010,6469,1767,773,7,4
chr10_1011,3960,1023,705,4,5
chr10_1012,5111,1137,568,3,4
chr10_1013,8208,1689,1070,8,3
chr10_1014,8503,1934,1355,10,9
chr10_1015,6826,1701,854,4,4
chr10_1016,7137,1373,976,7,9
chr10_1017,9063,1879,1321,7,8
chr10_1018,8962,1671,1061,11,7
chr10_1019,8997,1538,950,7,9
chr10_101,509,158,31,0,0
chr10_1020,7384,1824,1138,19,10
chr10_1021,5426,1294,636,6,5
chr10_1022,7326,1315,856,1,6
chr10_1023,5017,1275,554,4,6
chr10_1024,6098,1462,806,8,9
chr10_1025,4989,1097,729,2,1
chr10_1026,5747,1388,492,3,6
chr10_1027,6045,1520,906,6,8
chr10_1028,6861,1608,774,16,6
chr10_1029,6346,1399,713,4,5
chr10_102,6194,1661,604,2,2
chr10_1030,2562,622,342,7,1
chr10_1031,2297,484,7,0,0
chr10_1032,4237,948,555,2,4
chr10_1033,2886,702,456,2,2
chr10_1034,7212,1320,866,4,7
chr10_1035,2375,493,348,4,3
chr10_1036,6785,1639,840,6,8
chr10_1037,6312,1606,970,9,9
chr10_1038,4969,1216,545,6,0
chr10_1039,7228,1685,671,5,6
chr10_103,6712,1942,1043,6,6
chr10_1040,4693,1145,623,6,5
chr10_1041,6116,1564,365,5,2
chr10_1042,5048,1187,629,2,3
chr10_1043,5148,1150,703,4,7
chr10_1044,8481,1952,1469,26,6
chr10_1045,6898,1855,769,6,17
chr10_1046,9112,1807,1192,11,12
chr10_1047,7087,1684,905,9,8
chr10_1048,6925,1552,1017,4,3
chr10_1049,8792,1809,1189,4,6
chr10_104,6763,1876,753,3,7
chr10_1050,7926,1457,1125,12,4
chr10_1051,6608,1474,695,4,5
chr10_1052,5072,1170,634,9,5
chr10_1053,7773,1661,873,10,6
chr10_1054,8768,2098,1442,9,7
chr10_1055,7458,1580,925,14,10
chr10_1056,8661,1640,1080,10,10
chr10_1057,6285,1600,809,15,5
chr10_1058,6547,1650,938,5,7
chr10_1059,3126,645,342,1,2
chr10_105,3651,978,496,2,4
chr10_1060,7789,1776,1056,10,12
chr10_1061,6801,1693,866,4,2
chr10_1062,8072,1707,1154,16,6
chr10_1063,8537,1918,1016,5,12
chr10_1064,7766,1909,1110,12,5
chr10_1065,7945,2026,1288,10,13
chr10_1066,6112,1520,954,7,11
chr10_1067,6900,1447,738,2,8
chr10_1068,5133,1307,659,1,5
chr10_1069,6603,1413,626,3,6
chr10_106,6358,1843,888,4,8
chr10_1070,3835,985,692,4,4
chr10_1071,7448,1720,986,9,8
chr10_1072,8101,2021,1125,14,7
chr10_1073,7888,1881,1136,9,9
chr10_1074,8230,1953,1223,5,9
chr10_1075,6930,1376,875,9,8
chr10_1076,6074,1446,811,18,6
chr10_1077,7404,1795,890,5,6
chr10_1078,7919,1805,951,3,8
chr10_1079,7228,1517,905,8,5
chr10_107,7220,2057,1014,6,7
chr10_1080,8938,1860,1291,9,14
chr10_1081,7431,1767,952,2,17
chr10_1082,6511,1379,838,4,2
chr10_1083,9077,1686,1260,12,10
chr10_1084,8371,1608,1126,25,11
chr10_1085,7664,1791,881,9,11
